id,categoria,termo_pt,termo_en,abreviacao_pt,abreviacao_en,sinonimos_pt,sinonimos_en,unidade,definicao_pt,definicao_en,valores_tipicos,norma_referencia,campo_cadastro,observacoes_pt,observacoes_en,data_extracao,idioma,fonte_documental,regra_normalizacao,ambiguidades,relacao_pai,relacoes_filhos,relacoes_relacionados
CM007,componentes_motor,Ventilador,Cooling Fan,vent.,fan,hélice de resfriamento,cooling impeller | cooling blower,-,"Elemento acoplado ao eixo ou acionado externamente responsável pelo fluxo de ar de resfriamento. Em motores IC411 (TEFC), o ventilador é preso externamente ao eixo oposto à carga.","Element coupled to the shaft or externally driven, responsible for cooling airflow. In IC411 (TEFC) motors, the fan is mounted externally on the non-drive end.","Tipo: externo (IC01 — autoventilado) | interno | forçado (IC06/IC17 — motoventilador separado) | Vazão de ar nominal: 0,05 m³/s (carcaça 63) a 2,5 m³/s (carcaça 355) | Material: alumínio fundido (até carcaça 200) | plástico reforçado | aço (ambientes agressivos) | Direção de rotação: reversível ou fixa (identificar na capa do ventilador) | Ruído: < 70 dB(A) (carcaça ≤ 132) | < 82 dB(A) (carcaça 355) — NBR 17094",IEC 60034-6,tipo_resfriamento,IC01 (IEC 60034-6) = motor autoventilado aberto. TENV ≈ IC410; TEFC ≈ IC411. Não usar IC01 como sinônimo de TENV.,IC01 (IEC 60034-6) = open self-ventilated. TENV ≈ IC410; TEFC ≈ IC411. Do not equate IC01 with TENV.,2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: ventilador | fan | IC | resfriamento | cooling → tipo_resfriamento. Código IEC 60034-6: IC01x (autoventilado), IC04x (ventilação forçada), IC06 (fechado sem ventilação). Normalizar para código IC.","""IC"" como código de resfriamento (IEC 60034-6) pode ser confundido com circuito integrado (IC = Integrated Circuit) — contexto motor: IC + código numérico = método de resfriamento.",,,CM004 | SI001
CM008,componentes_motor,Caixa de Ligação,Terminal Box,cx. lig.,T-box,borne | caixa de terminais,connection box | junction box | terminal board,-,"Caixa acoplada à carcaça do motor que contém os terminais elétricos para conexão com a rede de alimentação. Também pode abrigar resistências de aquecimento, sensores PT100 e termistores.","Box attached to the motor housing containing the electrical terminals for connection to the power supply. May also house space heaters, PT100 sensors, and thermistors.","Grau de proteção mínimo: IP55 (compatível com corpo do motor) | Entradas de cabos: M20 a M63 (prensas conforme bitola do cabo) | Material: alumínio fundido | policarbonato (ambientes especiais) | Posição: D (padrão, lado direito) | T (topo) | E (esquerdo) | F (frontal) | Terminais: 6 (estrela/triângulo) | 9 (com TAP de tensão dupla) | 12 (alta tensão)",IEC 60034-1,posicao_caixa_ligacao,"Terminais em motores trifásicos: U1, V1, W1 (início), U2, V2, W2 (fim). Ligação estrela ou triângulo.","Terminals in three-phase motors: U1, V1, W1 (start), U2, V2, W2 (end). Star or delta connection.",2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: caixa de ligação | terminal box | bornes | TB → posicao_caixa_ligacao. Posições IEC: B3 (base), B5 (flange), B14, D3, etc. Normalizar inglês → português ou manter código IEC.","Sem ambiguidade crítica; ""bornes"" pode indicar apenas os terminais (sem mencionar a caixa). Registrar se referência é à caixa completa ou apenas aos terminais.",,,CM001 | GE001 | GE002
TF001,tipos_falha,Falha em Rolamento,Bearing Fault,falha_rol.,BRG_FAULT,falha no mancal | defeito de rolamento,bearing failure | bearing damage | bearing defect,-,"Degradação ou dano nos componentes do rolamento (pista interna, pista externa, elementos rolantes, gaiola). Causa mais frequente de falha em motores elétricos. Detectável por análise de vibração e termografia.","Degradation or damage to bearing components (inner race, outer race, rolling elements, cage). Most frequent cause of electric motor failure. Detectable by vibration analysis and thermography.","BPFO, BPFI, BSF, FTF",ISO 15243 | ISO 10816,historico_falha_rolamento,"Subtipos: fadiga superficial, desgaste, corrosão, erosão elétrica (fluting), fretting, sobrecarga.","Subtypes: surface fatigue, wear, corrosion, electrical erosion (fluting), fretting, overload.",2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: falha rolamento | bearing failure | BRG fail | TF001 → historico_falha_rolamento. Valores aceitos: confirmada | suspeita | descartada | em_monitoramento.,"""Falha em rolamento"" pode ser iniciada por fadiga, contaminação, lubrificação inadequada ou corrente de eixo — registrar causa_raiz associada para distinguir subtipos no histórico.",,,CM004 | GM001 | SI001 | MP001
TF002,tipos_falha,Barra de Rotor Quebrada,Broken Rotor Bar,BRB,BRB,barra rompida | fratura de barra,rotor bar crack | rotor bar failure,-,"Fratura ou alta resistência em uma ou mais barras condutoras do rotor gaiola de esquilo. Provoca assimetria no campo magnético, aumento de vibração e flutuação de torque. Detectável por MCSA (Motor Current Signature Analysis).","Fracture or high resistance in one or more rotor bars of a squirrel cage rotor. Causes magnetic field asymmetry, increased vibration, and torque fluctuation. Detectable by MCSA (Motor Current Signature Analysis).","Frequência sidebanda MCSA: fn ± k·(s·fn/P) — k=1,2,3; s=escorregamento; P=polos | Amplitude sidebanda: > −40 dB relativo à componente fundamental indica falha | Corrente de desequilíbrio trifásico: > 5% quando barra quebrada | Temperatura local hotspot rotor: 20°C a 50°C acima do restante (termografia) | Progressão: 1 barra → múltiplas barras → falha catastrófica em 200 a 2000 h",IEC 60034,historico_falha_rotor,Característica espectral: bandas laterais em torno da frequência fundamental de corrente (1 ± 2ks)f.,Spectral signature: sidebands around fundamental current frequency (1 ± 2ks)f.,2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: barra rotor | broken rotor bar | BRB | TF002 → historico_falha_rotor. Detectável via MCSA (frequências laterais de escorregamento). Normalizar ""broken bar"" → ""barra_rotor_quebrada"".",Sinal de MCSA para barra quebrada (sb ± 2ksf) pode ser confundido com desequilíbrio de tensão — validar com análise de vibração e termografia para desambiguar.,,,CM001 | IS001 | MP001
TF003,tipos_falha,Curto-Circuito entre Espiras,Inter-Turn Short Circuit,CC-esp.,ITSC,curtocircuito de enrolamento | curto entre espiras,turn-to-turn fault | stator winding fault,-,Falha no isolamento que permite contato elétrico direto entre duas espiras adjacentes do mesmo enrolamento. Causa aquecimento localizado e pode evoluir para curto à terra ou entre fases.,Insulation failure allowing direct electrical contact between two adjacent turns of the same winding. Causes localized heating and may evolve to ground fault or phase-to-phase fault.,"Resistência entre espiras afetadas: < 0,5 Ω (curto parcial) | Temperatura hotspot local: 50°C a 150°C acima da temperatura média do enrolamento | Assimetria de corrente entre fases: 5% a 20% conforme gravidade | Índice de polarização (PI): < 1,5 indica isolamento comprometido | Detecção: teste Surge (hi-pot impulsivo) | análise espectral de corrente (MCSA)",IEC 60034 | IEEE 43,historico_falha_estator,"Representa ~35% das falhas em motores industriais. Detectável por análise de corrente, termografia e testes de resistência de isolamento.","Represents ~35% of industrial motor failures. Detectable by current analysis, thermography, and insulation resistance tests.",2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: curto espiras | turn fault | ITF | inter-turn fault | TF003 → historico_falha_estator. Registrar fase afetada se disponível (U/V/W).,"Curto entre espiras (intra-bobina) difere de curto entre fases (inter-bobina) e curto à terra — registrar tipo exato; ambos geram aquecimento localizado, mas assinaturas de corrente distintas.",,,CM003 | GM001 | MP001
TF004,tipos_falha,Falha de Isolamento,Insulation Failure,falha_isol.,INS_FAULT,degradação de isolamento | ruptura do isolamento,insulation breakdown | insulation degradation,-,"Deterioração do sistema isolante do enrolamento, causada por envelhecimento térmico, contaminação por umidade, vibração mecânica ou estresse elétrico (sobretensões). Identificado por baixa resistência de isolamento.","Deterioration of the winding insulation system, caused by thermal aging, moisture contamination, mechanical vibration, or electrical stress (overvoltages). Identified by low insulation resistance.","Resistência de isolamento: < 1 MΩ·kV⁻¹ (limiar crítico IEEE 43) | Índice de polarização: < 1,5 (suspeito) | < 2,0 (requer atenção) | Tensão de ensaio hi-pot: 2 × Un + 1000 V (IEC 60034-1) por 1 minuto | Corrente de fuga à terra: > 5 mA (threshold típico de relé de terra GF) | Progressão térmica: vida isolação reduz 50% a cada 10°C acima da classe (regra de Montsinger)",IEC 60085 | IEEE 43,historico_falha_isolamento,"Principal causa: envelhecimento térmico (temperatura acima da classe). Diagnóstico: teste megôhmetro, índice de polarização.","Primary cause: thermal aging (temperature above class rating). Diagnosis: megohmmeter test, polarization index.",2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: falha isolamento | insulation failure | ins. fail | TF004 → historico_falha_isolamento. Severidade: critica (Riso < 1MΩ/kV) | alerta (Riso 1-5 MΩ/kV) | normal (>5 MΩ/kV).,"""Falha de isolamento"" pode ser degradação progressiva (tracking, aging) ou falha abrupta (perfuração dielétrica) — o campo historico deve registrar o modo de falha.",,,CM003 | GM002 | MP001
TF005,tipos_falha,Desalinhamento,Misalignment,desalin.,MISALIGN,desalinhamento de eixo | desalinhamento de acoplamento,shaft misalignment | coupling misalignment | angular misalignment | parallel misalignment,-,"Condição em que os eixos do motor e da carga não estão perfeitamente coaxiais. Pode ser angular (eixos formam ângulo), paralelo (eixos paralelos mas deslocados) ou combinado. Causa vibração excessiva e desgaste prematuro de rolamentos e acoplamentos.","Condition where motor and load shafts are not perfectly coaxial. Can be angular (shafts form an angle), parallel (shafts parallel but offset), or combined. Causes excessive vibration and premature wear of bearings and couplings.","< 0,05 mm recomendado",ISO 10816 | API 686,historico_falha_desalinhamento,Detectado por vibração com dominância em 1× e 2× a frequência de rotação. Corrigido com alinhamento a laser.,Detected by vibration with dominance at 1× and 2× rotation frequency. Corrected with laser alignment.,2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: desalinhamento | misalignment | mis. | TF005 → historico_falha_desalinhamento. Tipos: angular | paralelo | combinado. Unidade: mm (paralelo) ou graus (angular).,Desalinhamento angular e paralelo produzem assinaturas de vibração similares (2× e 1× rpm) — registrar tipo confirmado pela análise; não assumir tipo sem medição de alinhamento a laser.,,,GM001 | GM006 | SI002
TF006,tipos_falha,Desequilíbrio de Rotor,Rotor Unbalance,deseq. rot.,UNBAL,desbalanceamento | desbalanceamento dinâmico | desbalanceamento estático,unbalance | dynamic unbalance | static unbalance,g·mm,Distribuição assimétrica de massa no rotor em relação ao seu eixo geométrico. Gera força centrífuga que se manifesta como vibração dominante na frequência de rotação (1×rpm).,Asymmetric mass distribution in the rotor relative to its geometric axis. Generates centrifugal force manifested as vibration dominant at rotation frequency (1×rpm).,Grau G6.3 (uso geral) | Grau G2.5 (alta precisão),ISO 1940-1,historico_falha_desbalanceamento,Corrigido por balanceamento dinâmico com adição ou remoção de massa. Graus conforme ISO 1940.,Corrected by dynamic balancing with mass addition or removal. Grades per ISO 1940.,2026-04-29,pt-BR / en-US,manual_tecnico,"Normalizar: desequilíbrio rotor | unbalance | desbal. | TF006 → historico_falha_desbalanceamento. Graus ISO 1940-1: G0.4|G1|G2.5|G6.3|G16|G40. Normalizar ""unbalance"" → ""desbalanceamento"".","Desequilíbrio de rotor (mecânico, unbalance) difere de desequilíbrio de tensão (elétrico) — campo historico_falha_desbalanceamento é exclusivo para a condição mecânica.",,,CM006 | GM001 | TF005
TF007,tipos_falha,Sobrecarga Térmica,Thermal Overload,sobrecarga,OL_THERM,sobreaquecimento | superaquecimento,overheating | thermal overload | motor overload,-,"Condição em que o motor opera com corrente acima da nominal por tempo prolongado, excedendo a temperatura máxima da classe de isolamento. Pode ser causada por sobrecarga mecânica, subtensão, desequilíbrio ou resfriamento inadequado.","Condition where the motor operates with current above rated for extended time, exceeding the maximum temperature of the insulation class. Can be caused by mechanical overload, undervoltage, imbalance, or inadequate cooling.","Corrente de sobrecarga: > 1,15 × In por tempo superior à curva do relé | Elevação temperatura por sobrecarga: ΔT ≈ (I/In)² × ΔT_nominal | Tempo de atuação relé de sobrecarga: conforme curva IEC 60947-4-1 (classe 10/20/30) | Derating por altitude: -1% capacidade por 100 m acima de 1000 m | Derating por temperatura: -3% por 1°C acima de 40°C ambiente",IEC 60034-1 | NEMA MG1,historico_sobrecarga,Proteção por relé térmico ou relé de proteção com função 49 (proteção térmica de máquina).,Protection via thermal relay or protection relay with function 49 (machine thermal protection).,2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: sobrecarga | thermal overload | overload | TF007 → historico_sobrecarga. Registrar fator de sobrecarga (I/In) e duração quando disponíveis.,Sobrecarga térmica pode ter causa elétrica (sobrecorrente) ou mecânica (torque excessivo da carga) — registrar causa identificada para diferenciar ação corretiva.,,,GE002 | PO001 | EL002
TF008,tipos_falha,Contaminação,Contamination,contam.,CONTAM,ingresso de agentes externos | contaminação por umidade,moisture ingress | dust contamination | chemical contamination,-,"Ingresso de agentes externos (umidade, poeira, óleo, agentes químicos) no interior do motor através de falhas no grau de proteção IP. Causa degradação do isolamento e corrosão de componentes.","Ingress of external agents (moisture, dust, oil, chemical agents) into the motor through failures in IP protection degree. Causes insulation degradation and component corrosion.","Nível de contaminação aceitável ISO 4406: ≤ 17/15/12 (óleo) | Umidade relativa interna máx: < 80% sem condensação (IP55 garante por IP, não temperatura) | Poeira: IP5X = poeira limitada | IP6X = sem ingresso de poeira | Efeito: redução de R_isolamento em até 90% com umidade + poeira condutiva | Frequência de inspeção em ambientes sujos: a cada 2.000 h ou semestral",IEC 60529,historico_contaminacao,Prevenido por adequada especificação do grau IP para o ambiente e uso de resistência de aquecimento (anti-condensação).,Prevented by adequate IP rating for the environment and use of space heaters (anti-condensation).,2026-04-29,pt-BR / en-US,manual_tecnico,Normalizar: contaminação | contamination | cont. | TF008 → historico_contaminacao. Agentes: umidade | poeira | óleo | produto_quimico | condensação. Normalizar para snake_case.,Contaminação por umidade pode causar falha de isolamento — registrar separadamente o agente contaminante e a falha consequente para não duplicar ocorrências.,,,IS001 | IS003 | GE002
PO001,parametros_operacao,Fator de Serviço,Service Factor,FS,SF,fator de sobrecarga | margem de serviço,overload factor | service multiplier | SF rating,adimensional,"Multiplicador aplicado à potência nominal que indica a capacidade do motor de suportar sobrecarga contínua sem dano ao isolamento, desde que respeitadas as demais condições nominais.","Multiplier applied to the rated power indicating the motor's capacity to sustain continuous overload without insulation damage, provided all other rated conditions are met.",SF 1.0 (IEC) | SF 1.15 (NEMA padrão) | SF 1.25 (aplicações severas),NEMA MG1 | IEC 60034-1,fator_servico,"SF é conceito predominante NEMA. Na IEC, usa-se sobrecarga permitida conforme S1–S10 e a tabela de sobrecargas admissíveis.","SF is predominantly a NEMA concept. In IEC, permissible overload uses S1–S10 duty cycles and allowable overload tables.",2026-04-29,pt-BR / en-US,placa_equipamento,Normalizar: FS | SF | fator de serviço | service factor → fator_servico,"Fator de Serviço (FS ou SF) pode ser confundido com ""regime de serviço"" (S1–S9) — são grandezas distintas: FS é fator multiplicador de sobrecarga contínua admissível (ex.: 1.15); regime de serviço descreve o ciclo de operação. FS = 1.0 é o padrão IEC; NEMA permite FS > 1.0 como capacidade de sobrecarga nominal.",,,GE002 | TF007 | IS001
PO002,parametros_operacao,Regime de Serviço,Duty Type,S,S,regime de trabalho | ciclo de serviço,duty cycle | service regime,-,"Classificação da sequência de condições de carga às quais o motor é submetido, incluindo partidas, operação em carga, operação em vazio, freio elétrico e parada. Define o perfil térmico do motor.","Classification of the sequence of load conditions to which the motor is subjected, including starting, on-load operation, no-load operation, electric braking, and rest. Defines the motor's thermal profile.",S1 (contínuo) | S2 (temporário) | S3 (intermitente periódico) | S4 (partidas frequentes) | S5 (intermitente com frenagem) | S6 a S10,IEC 60034-1,regime_servico,S1 é o mais comum: carga constante por tempo suficiente para atingir equilíbrio térmico.,S1 is the most common: constant load for sufficient time to reach thermal equilibrium.,2026-04-29,pt-BR / en-US,placa_equipamento,"Normalizar: regime serviço | duty | duty cycle | S1..S9 → regime_servico. Aceitar S1–S9 conforme IEC 60034-1. Normalizar ""duty"" + número → S + número.","""Duty cycle"" em eletrônica de potência (%) difere de regime de serviço (S1–S9) de motores — usar código IEC (S1=contínuo, S2=temporário, etc.) e não percentual isolado.",,,GE001 | TF011 | GE009
PO003,parametros_operacao,Número de Polos,Number of Poles,P,p,polos do motor,pole pairs | motor poles,adimensional (número par),"Quantidade de polos magnéticos no enrolamento do estator. Determina diretamente a velocidade síncrona do motor: quanto maior o número de polos, menor a velocidade.","Number of magnetic poles in the stator winding. Directly determines the motor's synchronous speed: the greater the number of poles, the lower the speed.",2 polos: 3600 rpm (60 Hz) | 4 polos: 1800 rpm (60 Hz) | 6 polos: 1200 rpm (60 Hz) | 8 polos: 900 rpm (60 Hz),IEC 60034-1,numero_polos,Fórmula: ns = (120 × f) / P.,Formula: ns = (120 × f) / P.,2026-04-29,pt-BR / en-US,placa_equipamento,Normalizar: p | polos | poles | número de polos → numero_polos. Ambiguidade: p minúsculo = polos; P maiúsculo = potência. Verificar unidade seguinte.,p (minúsculo) = número de polos; P (maiúsculo) = potência. Verificar caixa e unidade para desambiguar.,,,GE001 | TM001 | GE004
PO004,parametros_operacao,Ligação do Enrolamento,Winding Connection,lig.,conn.,ligação estrela | ligação triângulo | ligação delta,star connection | delta connection | wye connection,-,"Forma como os enrolamentos do estator são interligados entre si. Na ligação estrela (Y), o enrolamento suporta a tensão de fase. Na ligação triângulo (Δ), suporta a tensão de linha.","Method by which stator windings are interconnected. In star (Y) connection, the winding supports phase voltage. In delta (Δ) connection, it supports line voltage.",Y (estrela) | Δ (triângulo) | Y/Δ (dupla),IEC 60034-1 | NBR 17094,ligacao_enrolamento,Motor com dupla tensão: placa indica ex. 220/380 V (Δ/Y) ou 380/660 V (Δ/Y).,"Dual-voltage motor: nameplate indicates e.g., 220/380 V (Δ/Y) or 380/660 V (Δ/Y).",2026-04-29,pt-BR / en-US,placa_equipamento,Normalizar: ligação | connection | delta | estrela | Y | D | triângulo → ligacao_enrolamento. Valores aceitos: estrela | triangulo | estrela_triangulo | duplo_triangulo | dupla_estrela.,"""D"" pode ser delta (triângulo) ou designação de polo em notação NEMA — contexto de ligação: D = triângulo; Y = estrela. Grafias alternativas: Δ, ∇ (delta); Y, ★ (estrela).",,,IS001 | IS003 | CM005
PO005,parametros_operacao,Temperatura Ambiente,Ambient Temperature,T_amb,T_amb,temperatura do ambiente,ambient air temperature | surrounding temperature,°C,Temperatura do ar ao redor do motor. A potência nominal é definida para temperatura ambiente de 40°C (padrão IEC). Operação em ambientes mais quentes requer derate (redução de potência).,Temperature of the air surrounding the motor. Rated power is defined for an ambient temperature of 40°C (IEC standard). Operation in hotter environments requires derating.,40°C (padrão IEC/NEMA) | Derate acima de 40°C,IEC 60034-1 | NEMA MG1,temperatura_ambiente_c,"Para cada 5°C acima de 40°C, aplica-se derate de ~5% na potência nominal.","For each 5°C above 40°C, approximately 5% derating is applied to rated power.",2026-04-29,pt-BR / en-US,placa_equipamento,Normalizar: temp. amb. | Ta | tamb | ambient temp | temperatura ambiente → temperatura_ambiente_c. Registrar em °C. Padrão IEC: 40 °C; altitude padrão: ≤ 1000 m.,Temperatura ambiente (Ta) difere de temperatura de operação do motor (elevação) — Ta é condição ambiental do local; elevação é o delta interno do motor.,,,GM001 | GM002 | TF006
PO006,parametros_operacao,Altitude,Altitude,alt.,alt.,altitude de operação | elevação,installation altitude | elevation above sea level,m (metros acima do nível do mar),"Altura da instalação acima do nível do mar. Em altitudes superiores a 1000 m, a densidade do ar é menor, reduzindo a eficiência do resfriamento e exigindo derate da potência nominal.","Installation height above sea level. At altitudes above 1000 m, air density is lower, reducing cooling efficiency and requiring derating of nominal power.",Padrão: ≤ 1000 m | Derate acima de 1000 m,IEC 60034-1 | NEMA MG1,altitude_instalacao_m,"Para cada 100 m acima de 1000 m, aplica-se derate de ~0,5% na potência nominal.","For each 100 m above 1000 m, approximately 0.5% derating is applied to rated power.",2026-04-29,pt-BR / en-US,placa_equipamento,Normalizar: altitude | alt. | elevation | cota → altitude_instalacao_m. Registrar em metros acima do nível do mar (MSNM). Fator de correção IEC: acima de 1000 m reduz capacidade.,"""Altitude"" pode referir-se à instalação (topográfica) ou à altitude de voo (irrelevante aqui) — contexto industrial: altitude = cota da instalação em metros MSNM.",,,GE003 | NC002 | TM001
IS001,isolamento_protecao,Grau de Proteção,Ingress Protection,IP,IP,índice de proteção | proteção IP,IP rating | IP code | protection degree,-,"Grau de proteção conforme IEC 60529, dois dígitos: sólidos (0–6) e líquidos (0–9). IP5X = protegido contra poeira (ingresso limitado); IP6X = totalmente vedado contra poeira. Exemplo: IP55 = ingresso limitado de poeira + proteção contra jatos de água.","Protection degree per IEC 60529, two digits: solids (0–6) and liquids (0–9). IP5X = dust-protected (limited ingress); IP6X = dust-tight. Example: IP55 = dust-protected + water jet proof.",IP21 | IP44 | IP54 | IP55 | IP65 | IP66 | IP68,IEC 60529 | NBR 6146,grau_protecao_ip,IP55 é o mais comum em motores industriais externos: proteção total contra poeira e jato d'água de qualquer direção.,IP55 is the most common for outdoor industrial motors: total dust protection and water jet protection from any direction.,2026-04-29,pt-BR / en-US,norma_tecnica,Normalizar: IP | grau proteção | protection | ingress → grau_protecao_ip. Ambiguidade: IP pode ser grau de proteção ou Internet Protocol — preservar maiúsculas no contexto técnico de motores.,"IP pode ser Grau de Proteção (IS001) ou Internet Protocol — no contexto de placa de motor, IP seguido de número = grau de proteção.",,IS002,CM001 | CM002 | TF008 | TF009
IS002,isolamento_protecao,Classe de Isolamento,Insulation Class,cl. temp.,ins. cl.,classe térmica | classe de temperatura do isolamento,thermal class | insulation temperature class | thermal index,°C,Classificação do sistema de isolamento do motor baseada na temperatura máxima que o isolante suporta sem degradação significativa de sua vida útil. Define a elevação de temperatura admissível.,Classification of the motor's insulation system based on the maximum temperature the insulation can withstand without significant degradation of its service life.,Classe A: 105°C | Classe E: 120°C | Classe B: 130°C | Classe F: 155°C | Classe H: 180°C,IEC 60085 | IEC 60034-1,classe_isolamento,"Não confundir com Classe de Temperatura Ex (T1–T6, IEC 60079) para atmosferas explosivas, que trata de temperatura de superfície máxima.","Do not confuse with Ex Temperature Class (T1–T6, IEC 60079) for explosive atmospheres, which refers to maximum surface temperature.",2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: classe isolamento | insulation class | temp. class | thermal class → classe_isolamento. Valores: A|E|B|F|H|N|R|S|C (IEC 60085). Normalizar temperatura para letra padrão: 105→A, 120→E, 130→B, 155→F, 180→H.",Classe de isolamento (térmica) pode ser confundida com classe de tensão (isolamento dielétrico) — são categorias distintas; classe térmica define temperatura máxima do enrolamento; classe de tensão define suportabilidade dielétrica.,IS001,,IS001 | GE007 | MP004
IS003,isolamento_protecao,Proteção contra Explosão,Explosion Protection,Ex,Ex,motor à prova de explosão | motor Ex-d | motor à prova de chama,explosion-proof motor | flameproof | Ex-d | ATEX,-,"Tipo construtivo de motor projetado para operar com segurança em atmosferas explosivas (gases, vapores ou poeiras inflamáveis). Classificado por zona de risco e tipo de proteção (Ex d, Ex e, Ex nA, Ex tb).","Motor constructive type designed to operate safely in explosive atmospheres (flammable gases, vapors, or dusts). Classified by hazardous zone and protection type (Ex d, Ex e, Ex nA, Ex tb).",Ex d (à prova de chama) | Ex e (segurança aumentada) | Ex nA (não incendiante) | Ex tb (poeiras),IEC 60079 | ATEX 2014/34/EU | NBR IEC 60079,protecao_ex,"Aplicações: refinarias, plantas químicas, silos. Requer certificação INMETRO/ATEX e placa com marcação Ex específica.","Applications: refineries, chemical plants, silos. Requires INMETRO/ATEX certification and specific Ex marking on nameplate.",2026-04-29,pt-BR / en-US,norma_tecnica,Normalizar: Ex | ATEX | explosão | explosion proof | à prova de explosão | protecao_ex → protecao_ex. Modos IEC 60079: Ex d | Ex e | Ex n | Ex p | Ex m | Ex ia/ib. Normalizar para código IEC.,"Ex ""d"" (encapsulamento à prova de chama) difere de Ex ""e"" (segurança aumentada) — são modos de proteção distintos para diferentes zonas ATEX; registrar código completo (ex.: Ex d IIB T4).",,,IS001 | TF013 | PO004
IS004,isolamento_protecao,Classe de Eficiência,Efficiency Class,IE,IE,nível de eficiência energética | IE1 | IE2 | IE3 | IE4,international efficiency class | IE code,-,"Classificação internacional do rendimento de motores elétricos trifásicos de indução. Definida pela IEC 60034-30 em quatro níveis: IE1 (padrão), IE2 (alto), IE3 (premium), IE4 (super premium).","International classification of three-phase induction motor efficiency. Defined by IEC 60034-30 in four levels: IE1 (standard), IE2 (high), IE3 (premium), IE4 (super premium).",IE1 | IE2 | IE3 | IE4,IEC 60034-30-1,classe_eficiencia_ie,"No Brasil, motores novos ≥ 0,75 kW devem ser no mínimo IE3 (Portaria Inmetro 217/2020, com vigência a partir de 2024).","In Brazil, new motors ≥ 0.75 kW must be at minimum IE3 (Inmetro Ordinance 217/2020, effective from 2024).",2026-04-29,pt-BR / en-US,norma_tecnica,"Normalizar: IE | classe eficiência | efficiency class | IE1..IE5 → classe_eficiencia_ie. Valores aceitos: IE1|IE2|IE3|IE4|IE5 (IEC 60034-30-1). Normalizar ""premium"" → IE3; ""super premium"" → IE4.","IE (International Efficiency) pode ser confundido com ""IE"" de siglas de equipamentos (ex.: Instrument Electrical) — contexto motor + número inteiro 1-5: IE = classe de eficiência energética.",,,IS001 | IS003 | TF008
NC001,normas_certificacoes,Placa de Identificação,Nameplate,placa,NP,plaqueta de identificação | etiqueta do motor,motor nameplate | rating plate | data plate,-,Placa metálica fixada ao motor contendo todos os dados nominais e de identificação do equipamento conforme exigido pela norma. É a fonte primária de dados técnicos do ativo.,Metal plate fixed to the motor containing all nominal and identification data as required by standards. It is the primary source of technical data for the asset.,Dados obrigatórios NBR 17094-1: fabricante | modelo | n° série | tensão | corrente | potência | RPM | FP | rendimento | IP | classe isolamento | regime | peso | Posição padrão: lateral da carcaça (lado oposto ao acionamento) | Material: aço inox | alumínio anodizado | aço galvanizado | Fixação: rebites ou parafusos invioláveis | Legibilidade mínima: 10 anos em condições normais de instalação,IEC 60034-1 | NBR 17094-1,dados_placa,"Campos obrigatórios NBR 17094: fabricante, tipo, série/nº série, potência, tensão, corrente, fp, rotação, regime, IP, classe isolamento.","Mandatory IEC 60034-1 fields: manufacturer, type, serial number, power, voltage, current, PF, speed, duty, IP, insulation class.",2026-04-29,pt-BR / en-US,placa_equipamento,"Normalizar: placa | nameplate | placa id | dados placa | rating plate → dados_placa. Campos obrigatórios da placa IEC: potência, tensão, corrente, frequência, velocidade, classe_isolamento, grau_ip, regime_servico.","""Placa de identificação"" pode referir-se ao documento digital (dados_placa em BD) ou ao item físico no motor — registrar origem: ""placa_fisica"" (leitura direta) vs. ""ficha_cadastro"" (dados inseridos manualmente).",,,GE001 | GE002 | GE003 | TM001
